Red,Black,Orange,Yellow,Green,Blue,Purple,Brown,White
0,5.274920329,1.375842888,0.005665029,-0.279119415,0.892346537,-0.637101767,0.174830559,4.451482209
0,-1.226525702,-2.386319219,-2.550738387,-1.556272702,-2.154525374,-1.93782274,-3.781684255,-4.349522648
0,-3.848938946,-3.945029734,-2.632334685,-1.930240194,0.196893961,2.71374978,-2.113115112,-5.952365521
0,4.672202849,1.843148275,-2.262028227,3.313292309,1.813691508,1.635682115,1.081836017,0.030941563
0,9.407061102,-0.287999914,-2.402063769,3.482678963,3.923497017,5.288123422,6.818680762,-2.297437242
0,1.423914136,-0.236305025,-1.225160091,2.758652731,2.29948194,3.375528838,1.768002645,-1.321208374
0,-6.425139279,-1.793517818,-0.074652764,-0.609867133,-1.067636509,-0.090501665,-6.685967228,-5.817478359
0,2.725571235,-3.830715015,-2.087390747,-0.053777806,4.611324468,4.033551281,1.236022327,-3.439001754
0,8.256161174,-3.040449037,-3.366944908,0.275672391,2.583864663,3.291331276,6.411633967,0.305034894
0,3.195191972,1.494517686,0.867961557,6.931489167,3.028377754,3.335414504,5.745985369,5.093836922
0,5.576449843,1.277450241,-1.275455637,2.188711158,4.874453277,6.963441355,3.499803046,2.607977
0,4.552444585,-4.469253749,-0.848336446,-1.686928117,4.958135945,-0.100828465,2.000336546,-0.490225324
0,5.96999642,3.673803903,-1.288945131,8.395442823,3.207158526,6.131250297,7.49732873,0.94608368
0,-2.64694299,-2.598487405,-0.560555014,-1.548570894,3.124256459,3.834416329,1.244573903,-3.795588256
0,-0.450683099,-4.047757537,-2.433884428,0.506369457,2.66929769,-2.821441109,1.067337728,-5.642864039
0,-6.070966525,-1.070515307,-1.831285967,-3.9186239,-2.080088668,1.053683688,-1.670439003,2.047654023
0,1.012922666,-6.657237834,-4.845091186,-1.161955521,3.237850923,0.294717704,1.700254196,-3.032217957
0,0.6540611,-3.564607945,-0.967328929,-3.857750219,2.338852479,-4.441035536,-2.567536286,-2.07018504
0,2.868487965,2.140713794,-4.137792169,0.620400264,-2.714993041,0.472687841,4.465498674,-0.822154534
0,-0.48851206,-4.606648323,-5.365107223,-3.781228091,-2.372710243,-4.0223302,0.937881619,0.116683942
0,3.498618268,-1.622258372,-2.008649275,3.270293241,6.212817891,2.401800597,3.500653313,1.400365277
0,0.616842439,-2.25248677,-5.448094217,-1.65780571,-0.262928518,3.693393824,3.07226855,-3.071461197
0,1.187220997,-1.776089938,-3.421804303,-2.702302621,-0.01307534,-1.186194162,-5.501551816,-6.03595329
0,5.3452798,2.860008474,1.844134229,3.399603111,2.179644382,3.746608463,-0.377550098,7.026727421
0,-1.616173927,-7.348725149,-6.470035658,-4.716580605,-1.934520333,-4.262785242,0.65844339,-1.747295216
0,2.953574902,1.162638732,3.026114585,1.192660192,6.009166484,8.080127236,0.916660487,2.698726674
0,-1.141968276,-0.855377996,-2.583021367,-3.62965576,0.179897339,3.295199085,2.831538822,-0.140739216
0,-1.799785537,-2.514247772,-0.02783409,0.451805429,-0.198689143,-0.408152047,0.000851691,-1.049809203
0,8.514137537,-4.890623628,-4.338559631,-0.759443822,3.866914162,0.690593789,3.266493982,0.508271879
0,6.989252263,-2.924815896,-2.417102898,-2.200198415,2.150803254,-0.621528782,0.105439546,2.88186554
0,7.07647665,-0.060500133,-3.809188866,2.369375712,3.917192467,4.481783421,8.219600706,1.780127968
0,-2.546962013,-1.548870014,-1.756763276,-1.405799252,0.263196118,0.18151732,0.031356636,-1.632168935
0,3.201547538,1.579079822,0.592377824,2.980955428,5.453722184,5.373733248,-0.333585551,-0.624830444
0,8.654659395,-2.473025445,-1.957606483,0.492621959,3.082194197,3.845059027,5.773754513,0.12879509
0,-4.846971418,1.257985445,-0.849435748,0.312059332,-0.677501308,0.570590294,-0.975636136,-3.063807095
0,-3.871213068,-3.458754396,-3.083093929,-3.167191357,0.311809411,1.194287463,-3.048511912,-6.668713113
0,1.641336893,0.603155545,-2.314149553,4.44106634,3.713301479,6.411324564,3.285862046,-4.321534471
0,7.492256466,-1.717590519,-4.24161035,0.586226179,1.526973281,-0.113296555,4.086152789,-1.676541983
0,0.374942899,-2.346904571,-3.212245719,-1.230529693,1.440524456,-3.602938669,-5.064377428,-2.504695566
0,1.615680972,-3.937092616,-3.186859233,-3.886738465,-0.747817027,-2.145013878,-3.489293035,-6.232056742
0,0.050573418,-2.817277407,-0.514240697,-1.760728573,2.578598011,-1.359115401,1.571553562,-1.072369563
0,0.206385325,1.606724252,-4.881768368,-0.219624415,-4.184392582,-1.983039331,-1.553973126,-0.3506617
0,8.292388288,1.031183065,-2.825358065,-0.268265827,2.444852088,-0.543200001,-1.732745948,3.390975396
0,-0.626629172,-2.307647278,-2.218487969,1.466798348,-0.852521345,0.049439784,-0.643592464,-2.593641934
0,0.166453945,-2.007320226,-1.005416523,0.837641382,3.652808787,6.348058161,-1.02862393,-3.76936993
0,-0.229084382,2.25855675,-0.199712204,1.661966347,0.987067936,-0.224922227,1.344060972,-1.578620432
0,5.679507809,-0.84944117,-2.385235143,-2.233507527,-1.344224263,0.32732069,3.287039847,3.03999586
0,2.471019431,1.581890054,2.283245124,3.689917279,1.793059372,3.766414813,4.121266167,2.222293099
0,1.49163442,0.717896276,-2.870739144,1.819906305,-0.616472635,1.89521058,5.247908222,2.048127148
0,10.0591052,0.557600958,-4.106275848,2.860233843,3.274809243,5.309700131,4.989782199,1.435348796
0,7.396292756,-3.009499414,-4.503448342,2.883880521,2.50115553,4.764104455,8.085572398,-0.712720385
0,-1.165763598,-1.322530319,-1.80193624,-2.761321724,-2.334444663,-3.06625281,-1.06725492,-2.851236095
0,6.776070885,-4.026444156,-5.228776562,2.792150535,3.807977378,3.50854137,5.327479733,-2.287737997
0,6.748815695,-2.436858666,-1.975423191,2.044307065,3.652871283,5.146488558,7.31003011,-1.586281347
0,6.669716396,-1.806728971,-2.51547783,0.364474305,1.987767316,2.577211809,4.074599383,-2.043819287
0,-1.48967357,-4.734552942,-3.064413851,-2.805664643,-0.019483615,1.421584875,-2.717845621,-1.214150817
0,2.341546669,0.655143814,2.256178055,1.967262147,1.295518515,2.186707314,1.075861963,1.084866686
0,-3.426857223,-4.04392991,-2.068390897,0.687169719,2.967043881,4.744163704,-0.150445039,-1.491680121
0,9.403856251,-2.99691337,-5.145488395,1.656802243,3.871520406,2.230649952,3.655809241,-3.453316755
0,-5.899629912,-0.576432599,0.607896123,-1.957248881,-1.298865317,-2.310577492,-3.343885063,1.974057779
0,3.902738434,1.981191443,1.392492392,3.724013348,5.463955498,9.580069983,3.958092485,-0.745623275
0,9.926930856,-1.228874793,-3.192676854,1.594140089,4.799915264,4.692690691,3.439511954,1.880570037
0,7.59030071,0.684972441,0.258899355,4.99419966,1.961286134,2.944365599,3.245204542,1.743864008
0,3.100928607,-0.90185163,-0.943330056,-2.799636554,-4.655766801,-3.886676322,0.942853371,3.151454059
0,-4.608114831,-4.99875884,-6.242184855,-3.472546469,-0.602630042,-0.98630198,-5.139883424,-4.602277215
0,4.659403718,-3.081591261,-2.854870609,1.220729855,0.356356074,5.857224816,3.204288958,1.523876803
0,5.850399278,-1.167913692,-2.4674007,-2.572653779,2.427969928,-2.916748116,-1.082629424,0.394266143
0,1.57805859,-2.915945896,-3.021456324,1.213984277,3.359559842,-0.231653427,2.13628962,-2.341210955
0,-5.199626336,-2.650577955,-3.31174237,-3.700690397,-1.204933087,-3.195763062,-0.897882703,-3.946704492
0,3.759468335,2.664888293,-2.029380563,2.014862638,1.72127015,6.806567292,6.243897998,3.371394694
0,-2.235783932,-0.669644356,-4.070343964,2.783291497,-0.028763727,0.715978996,-0.764405105,-3.190649388
0,-3.920970646,2.197853237,-2.627893521,-0.647452563,0.458640111,4.853378108,-0.599698564,-3.526238658
0,-1.55982366,1.057869297,-2.301956433,-0.434475546,0.261293159,0.702818511,3.33166291,3.320553855
0,-8.691073804,-0.963574523,-3.655488892,-4.636400571,-4.853790418,-4.940017817,-2.96289043,-6.255646908
0,-5.252180891,-1.838465944,1.507574498,3.608797787,-0.136433807,1.966597343,-0.306036762,-5.383955194
0,4.76462457,-1.253120749,-2.027422016,3.559032493,1.12377628,-2.50375502,-0.939219076,3.034324368
0,0.078553015,2.991214945,-1.623262765,1.178128282,-0.119537948,3.140098265,2.74299824,-0.783950831
0,-2.430027419,-3.810496249,-2.091108128,2.253154008,0.107407298,4.819610808,1.838317908,-2.682981486
0,-4.188528555,1.244407916,1.027255199,3.454660605,2.803767887,7.814366539,-0.786405377,-3.276676926
0,-4.097716883,-1.593041991,1.483588018,-2.78260416,2.075514143,1.005057868,-0.971336305,-2.592505188
0,5.373439361,-1.673468366,-3.095088072,-0.009839034,2.342755662,-1.262925322,3.173331832,0.802724145
0,4.357085589,-2.460550185,-0.289285288,1.993457884,4.765218642,0.490614664,1.698361698,1.324488247
0,-1.309366085,-1.15856345,-1.04386816,-2.814382875,-2.575041035,-1.047237061,-2.879739231,1.376172174
0,3.494087392,-2.447041679,-0.788292769,-1.965597451,2.525302233,1.871196231,0.11007922,-3.419247016
0,2.909957888,-0.586933987,0.480291477,-0.25303863,2.68219048,-0.464606427,1.294434615,-0.82073268
0,0.850845784,-5.278300499,-4.892474305,-2.543704872,-0.694047565,-4.850245601,0.257609883,-1.616558859
0,3.625756114,2.211678426,-1.018051536,0.302716891,1.61443912,0.932195028,-3.443681976,-3.107137263
0,2.383682382,-2.155704513,-2.383375023,-1.776893356,2.4362335,6.059526606,3.754733764,0.132791893
0,5.006577513,-1.326675501,-2.274101538,2.048640346,4.472222378,8.64002159,4.139005688,1.838568344
0,-2.773693885,-3.83861341,-1.914552289,-1.579255992,0.839183143,3.60069576,-0.538745746,0.916574078
0,3.269084702,-2.550839903,-1.177224896,-2.34843447,1.270053866,-2.326363598,4.240823343,0.803279071
0,3.072308341,-1.346620615,-1.369511389,0.545778119,-1.930905439,-1.137230067,2.09928539,-1.094769083
0,4.174685946,-1.25528256,-0.96394892,-1.53264114,0.822762478,-0.910144055,2.447666969,-1.095368427
0,7.852444615,6.481154434,2.952280345,7.616495546,1.680297235,5.400368832,4.633464242,4.333707468
0,7.562655331,-1.125939976,-1.81821912,0.165505652,1.671408399,3.866066924,4.985187596,2.635798439
0,3.292250723,2.009165455,0.049688734,4.622463859,3.434680276,7.31422702,1.543611531,-0.842032749
0,8.576778789,1.45087414,0.496878985,3.024404102,6.162754799,1.910367071,0.116439429,4.625446642
0,3.791590823,-1.989508006,0.759032835,1.977816455,2.885788128,4.745788695,2.431066279,1.684056209
0,2.806720002,1.625291756,-2.561784585,3.297468163,2.921686839,7.577098494,3.709181141,1.541567048
0,6.336466777,-4.036709681,-6.813696196,-0.965011408,-0.364491903,-1.358984259,2.394410787,-2.90928334
0,3.972497034,2.321158957,-0.428426148,0.070547213,-0.886910503,2.114899699,3.733101427,7.389916221
0,4.420590162,-1.018095919,-4.67548241,1.306210526,0.710279636,0.233267407,-0.001688647,-2.682633253
0,-4.494437818,-6.446470491,-2.151564648,-2.441494178,-2.688121989,-6.897276917,-4.163847401,-6.457849958
0,-7.284877287,-0.597792283,1.197547579,-1.178744922,-2.635641609,-2.385940503,-5.92672462,-5.684730454
0,7.424681954,-2.096670955,0.473934644,0.531862163,2.724346256,-2.105983949,0.841208801,1.505959376
0,-2.311381516,-3.768922665,-4.184307758,-4.174395751,-3.004055668,0.230541756,-1.596460619,-5.077292519
0,5.555243941,-3.201047044,-6.313804715,-3.55856886,-1.923672677,-0.200348289,-1.110709311,0.668558362
0,-6.250752898,-2.735454069,-2.806168965,-2.610831911,0.067756594,-0.26621798,-6.44436088,-4.458380034
0,-2.031003239,-0.215570301,-5.428587351,-1.639120133,-2.248162257,1.129107922,1.554915727,-3.713997704
0,1.026991089,1.77174186,0.559294309,5.652270425,3.041207605,4.099718696,2.915581135,3.417156916
0,-0.571663529,-4.017883264,-2.59855093,2.53429063,1.640098554,-2.218065198,-1.396620357,-2.69150161
0,5.755008455,-1.44402004,0.205051272,1.379531429,5.347746502,1.889899496,-2.071341827,1.678181867
